Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PS2,2005,Adventure,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Fatal Frame II: Crimson Butterfly,PS2,2003,Action,Ubisoft,0-1,0-1,0-1,0-1,0-1,80-81,39-40,9.0,0-500,Tecmo,M
Murdered: Soul Suspect,XOne,2014,Action,Square Enix,0-1,0-1,0-1,0-1,0-1,50-51,16-17,7.0,0-500,Airtight Games,M
Shadow Man: 2econd Coming,PS2,2002,Adventure,Acclaim Entertainment,0-1,0-1,0-1,0-1,0-1,67-68,23-24,8.0,0-500,Acclaim,M
Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011,Strategy,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Dynasty Warriors 4,XB,2003,Action,Tecmo Koei,0-1,0-1,0-1,0-1,0-1,74-75,17-18,9.0,0-500,Omega Force,T
Warriors Orochi 3,X360,2011,Action,Ubisoft Annecy,0-1,0-1,0-1,0-1,0-1,70-71,8-9,8.0,0-500,Omega Force,T
Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003,Sports,Activision,0-1,0-1,0-1,0-1,0-1,82-83,22-23,9.0,0-500,Shaba Games,E
The Incredibles: Rise of the Underminer,GC,2005,Action,THQ,0-1,0-1,0-1,0-1,0-1,66-67,6-7,7.0,0-500,Heavy Iron Studios,E10+
Beowulf: The Game,PS3,2007,Action,Ubisoft,0-1,0-1,0-1,0-1,0-1,50-51,17-18,5.0,0-500,Ubisoft,M
Dewy's Adventure,Wii,2007,Platform,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,66-67,28-29,6.0,0-500,Konami,E
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,1997,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Alone in the Dark: The New Nightmare,PS,N/A,Adventure,Infogrames,0-1,0-1,0-1,0-1,0-1,76-77,14-15,8.0,0-500,Darkworks,M
The BIGS,PS3,2007,Sports,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,76-77,18-19,7.0,0-500,Blue Castle Games,E
Fracture,PS3,2008,Shooter,LucasArts,0-1,0-1,0-1,0-1,0-1,61-62,39-40,6.0,0-500,Day 1 Studios,T
Flushed Away,GC,2006,Platform,D3Publisher,0-1,0-1,0-1,0-1,0-1,46-47,3-4,,,Monkey Bar Games,E
NBA Live 08,Wii,2007,Sports,Electronic Arts,0-1,0-1,0-1,0-1,0-1,51-52,10-11,7.0,0-500,EA Canada,E
Summon Night EX-Thesis: Yoake no Tsubasa,PS2,2005,Role-Playing,Banpresto,0-1,0-1,0-1,0-1,0-1,,,,,,
Hyperdimension Neptunia Victory,PS3,2012,Role-Playing,Compile Heart,0-1,0-1,0-1,0-1,0-1,54-55,18-19,8.0,0-500,"Idea Factory, Compile Heart",T
Pro Yaky? Spirits 3,PS2,2006,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Silent Scope 3,PS2,2002,Shooter,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,60-61,11-12,,,KCET,M
NASCAR Heat 2002,GBA,2002,Racing,Infogrames,0-1,0-1,0-1,0-1,0-1,51-52,3-4,,,Crawfish Interactive,E
Marble Saga: Kororinpa,Wii,2009,Puzzle,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,73-74,15-16,7.0,0-500,Hudson Entertainment,E
Namco Classic Fighter Collection,PS2,2008,Fighting,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,,,,,Namco Bandai Games America,T
International Superstar Soccer Deluxe,SNES,1995,Sports,Konami Digital Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,,
Family Game Night 4: The Game Show,Wii,2011,Misc,Electronic Arts,0-1,0-1,0-1,0-1,0-1,,,,,Electronic Arts,E
Intellivision Lives!,PS2,2003,Misc,Play It,0-1,0-1,0-1,0-1,0-1,,,,,,
Robots,GC,2005,Action,Vivendi Games,0-1,0-1,0-1,0-1,0-1,55-56,3-4,,,Eurocom Entertainment Software,E
WRC 2: FIA World Rally Championship,PS3,2011,Racing,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,,
The King of Fighters XII,PS3,2009,Fighting,Ignition Entertainment,0-1,0-1,0-1,0-1,0-1,56-57,47-48,5.0,0-500,SNK Playmore,T
Tak: Mojo Mistake,DS,2008,Action,THQ,0-1,0-1,0-1,0-1,0-1,,,,,THQ,E
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0-1,0-1,0-1,0-1,0-1,,,,,TT Games,E10+
Dungeon Siege: Throne of Agony,PSP,2006,Role-Playing,Take-Two Interactive,0-1,0-1,0-1,0-1,0-1,73-74,31-32,8.0,0-500,SuperVillain Studios,T
Rio,DS,2011,Misc,THQ,0-1,0-1,0-1,0-1,0-1,58-59,4-5,,,THQ,E
SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0-1,0-1,0-1,0-1,0-1,,,,,,
Finding Nemo: Escape to the Big Blue,DS,2006,Action,THQ,0-1,0-1,0-1,0-1,0-1,65-66,4-5,,,Altron,E
Sengoku Basara: Chronicle Heroes,PSP,2011,Action,Capcom,0-1,0-1,0-1,0-1,0-1,,,,,,
Grease Dance,X360,2011,Misc,505 Games,0-1,0-1,0-1,0-1,0-1,,,,,505 Games,T
Culdcept SAGA,X360,2006,Role-Playing,Namco Bandai Games,0-1,0-1,0-1,0-1,0-1,74-75,32-33,9.0,0-500,"Omiya Soft, Jamsworks",T
The Wild Thornberrys: Chimp Chase,GBA,2001,Action,THQ,0-1,0-1,0-1,0-1,0-1,,,,,Helixe,E
Power Stakes,PS,1997,Sports,Aques,0-1,0-1,0-1,0-1,0-1,,,,,,
World Series of Poker: Tournament of Champions 2007 Edition,X360,2006,Misc,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,,
Hydro Thunder,N64,2000,Racing,Midway Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Destruction Derby 64,N64,1999,Racing,THQ,0-1,0-1,0-1,0-1,0-1,,,,,,
Space Invaders,N64,1999,Shooter,Activision,0-1,0-1,0-1,0-1,0-1,,,,,,
Starcraft 64,N64,2000,Strategy,Nintendo,0-1,0-1,0-1,0-1,0-1,,,,,,
Buck Bumble,N64,1998,Action,Ubisoft,0-1,0-1,0-1,0-1,0-1,,,,,,
California Speed,N64,1999,Misc,Midway Games,0-1,0-1,0-1,0-1,0-1,,,,,,
Wonder Project J2: Koruro no Mori no Josette,N64,1996,Simulation,Enix Corporation,0-1,0-1,0-1,0-1,0-1,,,,,,
